symbol,NPS1,NPS2,NPS3
KRT19,-0.8629987520246521,-0.05405729437268171,0.87718522094732
HNRNPF,0.4486608512038559,-0.13086746942246882,-0.06838497490359471
HIST1H2BK,0.41477901573600084,-0.3045867188107869,0.015378047059842125
HNRNPA1,0.5681576279152275,-0.22676490279557135,-0.05010679209571942
HIST1H2BJ,0.43498418594036914,-0.5134292310055416,0.2564611534324951
SSH3,-0.34894791850808227,0.027955354280242626,0.6496188649476442
EEF1G,0.45740397682036743,-0.3746292649188787,-0.017745664868729333
KRT8,-0.8715197241844727,-0.17682576770221192,0.797075264766903
CYB5R1,-0.6324897730512886,0.038960047721397405,0.5225435450027529
DHX9,0.5766701615646194,-0.2511331986541881,-0.07966659489601807
ACTA2,-0.6986695307186263,1.084587258384176,-0.9204834676006787
ACTC1,0.6117702570155842,-1.0379882445087725,0.9083563829473139
TAGLN,0.07624446400812092,0.5872926688009498,-0.8307632408813754
FLNA,-0.0671656315683616,0.6007118557220045,-0.7725012160366928
MYH11,-0.23656502480071442,0.5717439721514154,-0.5075765607552367
COL1A1,-0.06724342827818293,0.5595028551157976,-0.5399295350192053
COL6A3,0.22834034061057545,0.534090402189857,-0.7421684269928952
LUM,0.09293333373469616,0.5016095055600012,-0.7422397002269341
COL1A2,-0.02543509104606039,0.5448926206563078,-0.566175706440367
COL6A2,0.2859885825930023,0.4797267176641971,-0.713826075517221
FN1,0.5761113255971365,0.4037921314687457,-1.0233466025257196
KRT19.1,-0.8629987520246521,-0.05405729437268171,0.87718522094732
KRT7,-0.25776425929925867,0.0773249906240038,0.6083190092740027
ANXA6,0.5378553760419589,0.4032457084072222,-0.9273099012604805
ACTA2.1,-0.6986695307186263,1.084587258384176,-0.9204834676006787
ACTC1.1,0.6117702570155842,-1.0379882445087725,0.9083563829473139
KRT13,-0.6043751022790254,-0.18516492064316367,0.5783515102754921
CAST,-0.5580227237872927,-0.13093927747629985,0.737035052961567
KRT8.1,-0.8715197241844727,-0.17682576770221192,0.797075264766903
COL6A3.1,0.22834034061057545,0.534090402189857,-0.7421684269928952
